kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/images/kobocat_logo.png HTTP/1.1" 200 (18331 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 200 (83760 bytes) "http://kc.kobo.local/static/css/font-awesome.min.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/fonts/open-sans/opensans-regular.woff2 HTTP/1.1" 200 (18748 bytes) "http://kc.kobo.local/static/css/kobo-branding.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/images/kobologo.svg HTTP/1.1" 200 (3222 bytes) "http://kc.kobo.local/static/css/kobo-branding.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/fonts/open-sans/opensans-semibold.woff2 HTTP/1.1" 200 (18912 bytes) "http://kc.kobo.local/static/css/kobo-branding.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:13:08 +0000] "GET /kobo/ HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:13:10 +0000] "GET /kobo/ HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:13:11 +0000] "GET /kobo/ HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:13:12 +0000] "GET /kobo/ HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:13:14 +0000] "GET /kobo/ HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:13:15 +0000] "GET /kobo/ HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:13:17 +0000] "GET /kobo/ HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
